,id,imdbid,rating,title,year
245,621,25316,3,It Happened One Night,1934
246,1969,25423,0,"Lost Patrol, The",1934
247,6772,25091,3,Evelyn Prentice,1934
248,7304,25452,3,"Man Who Knew Too Much, The",1934
249,1246,25004,1,"Count of Monte Cristo, The",1934
250,1270,24991,1,Cleopatra,1934
251,1379,25586,1,Of Human Bondage,1934
252,4702,25465,3,Maniac,1934
253,1795,24844,0,L&#39;atalante,1934
254,8653,25543,0,Mystery Liner,1934
255,7999,25301,3,Imitation of Life,1934
256,5821,25755,3,Search for Beauty,1934
257,1261,26071,2,Anna Karenina,1935
258,5750,26599,2,"Lady in Scarlet, The",1935
259,7998,26663,2,Mad Love,1935
260,1685,26768,3,Naughty Marietta,1935
261,1361,26752,1,Mutiny on the Bounty,1935
262,2756,26667,3,Magnificent Obsession,1935
263,3891,26138,3,"Bride of Frankenstein, The",1935
264,1242,26029,3,"39 Steps, The",1935
265,595,27125,2,Top Hat,1935
266,2362,26942,3,Roberta,1935
267,3881,26778,1,A Night At The Opera,1935
268,5913,26939,2,"Riverside Murder, The",1935
269,1237,27438,1,"Charge of the Light Brigade, The",1936
270,4143,27407,3,Bullets or Ballots,1936
271,2699,27562,1,Earthworm Tractors,1936
272,1369,28096,3,"Petrified Forest, The",1936
273,3548,29207,3,"Mandarin Mystery, The",1936
274,3560,27752,3,"Only Son, The",1936
275,3598,28683,3,Camille,1936
276,2853,28021,3,Osaka Elegy,1936
277,6174,28000,3,Murder at Glen Athol,1936
278,4010,28092,3,Pennies from Heaven,1936
279,3280,28355,3,Theodora Goes Wild,1936
280,596,28333,1,Swing Time,1936
281,2363,27387,3,Born to Dance,1936
282,1323,27977,0,Modern Times,1936
283,1360,28505,2,Wife vs. Secretary,1936
284,7992,27545,3,Dracula&#39;s Daughter,1936
285,5852,28010,2,My Man Godfrey,1936
286,7308,28231,3,Secret Agent,1936
287,5926,28212,3,Sabotage,1936
288,2554,28174,0,Revolt of the Zombies,1936
289,4069,28203,3,Romeo and Juliet,1936
290,3401,27698,3,"Great Ziegfeld, The",1936
291,1992,27996,3,Mr. Deeds Goes to Town,1936
292,1359,28216,1,San Francisco,1936
293,6096,27652,2,Fury,1936
294,7227,28356,2,These Three,1936
295,6210,3427056,0,Il caso Valdemar,1936
296,1358,29377,2,Parnell,1937
297,7877,29217,3,Marked Woman,1937
298,1240,29442,1,"Prisoner of Zenda, The",1937
299,1244,29087,2,Knight Without Armor,1937
300,5617,29565,1,Murder at the Baskervilles (Silver Blaze),1937
301,597,29546,1,Shall We Dance,1937
302,1332,28739,2,Conquest,1937
303,1336,29162,2,Lost Horizon,1937
304,4255,29192,3,Make Way for Tomorrow,1937
305,3968,29322,0,Nothing Sacred,1937
306,7317,29811,3,"Girl Was Young, The",1937
307,795,29608,3,Stella Dallas,1937
308,1335,29682,2,Topper,1937
309,5740,29453,2,Pepe le Moko,1937
310,8478,29146,1,"Life of Emile Zola, The",1937
311,1976,29583,3,Snow White and the Seven Dwarfs,1937
312,2382,28772,2,A Day at the Races,1937
313,631,29604,3,Stage Door,1937
314,8473,27552,3,"Bizarre, Bizarre",1937
315,6554,28597,3,"Awful Truth, The",1937
316,3400,29947,3,Bringing Up Baby,1938
317,594,29971,2,Carefree,1938
318,1378,30755,2,"Sisters, The",1938
319,2467,29942,0,Boys Town,1938
320,7290,29870,1,Angels with Dirty Faces,1938
321,3103,29843,2,"Adventures of Robin Hood, The",1938
322,3951,30149,3,Four Daughters,1938
323,620,30341,3,"Lady Vanishes, The",1938
324,6042,30127,1,"Baker&#39;s Wife, The",1938
325,3283,29929,2,Bluebeard&#39;s Eighth Wife,1938
326,2590,30473,1,"Mr. Wong, Detective",1938
327,4495,30396,3,"Mad Miss Manton, The",1938
328,1238,30044,0,"Dawn Patrol, The",1938
329,994,30241,3,Holiday,1938
330,1367,30287,2,Jezebel,1938
331,1245,31385,2,"Goodbye, Mr. Chips",1939
332,5634,31225,3,Destry Rides Again,1939
333,1370,31210,3,Dark Victory,1939
334,1382,32155,2,Young Mr. Lincoln,1939
335,8511,31397,0,Gulliver&#39;s Travels,1939
336,3723,31066,3,Babes in Arms,1939
337,593,31971,3,Stagecoach,1939
338,2372,31060,2,At the Circus,1939
339,1385,31981,2,"Story of Alexander Graham Bell, The",1939
340,2555,31387,3,"Gorilla, The",1939
341,1239,32145,2,Wuthering Heights,1939
342,174,32138,3,"Wizard of Oz, The",1939
343,1259,31725,3,Ninotchka,1939
344,1973,31322,0,"Flying Deuces, The",1939
345,588,32143,3,"Women, The",1939
346,3089,31885,3,"Rules of the Game, The",1939
347,291,31381,3,Gone with the Wind,1939
348,1368,31516,2,Juarez,1939
349,1384,31252,2,Drums Along the Mohawk,1939
350,7322,31505,3,Jamaica Inn,1939
351,8098,31514,2,Le jour se l&egrave;ve,1939
352,383,31235,2,Dodge City,1939
353,2622,31680,1,Mr. Wong in Chinatown,1939
354,1371,31826,2,Essex and Elizabeth,1939
355,2086,31455,0,"Hunchback of Notre Dame, The",1939
356,1383,31507,2,Jesse James,1939
357,5763,31709,3,Nancy Drew... Reporter,1939
358,2851,31742,1,Of Mice and Men,1939
359,5946,31679,2,Mr. Smith Goes to Washington,1939
360,5863,31022,3,"Adventures of Sherlock Holmes, The",1939
361,4363,32406,2,Chamber of Horrors / Door with the Seven Locks,1940
362,1265,33152,0,"Thief of Bagdad, The",1940
363,1975,32339,0,A Chump at Oxford,1940
364,5320,32211,3,Anne Of Windy Poplars,1940
365,618,32976,3,Rebecca,1940
366,1366,32983,0,"Return of Frank James, The",1940
367,4354,32946,3,Primrose Path,1940
368,8480,32676,1,Knute Rockne All American,1940
369,2556,32215,3,"Ape, The",1940
370,1501,32811,3,"Mortal Storm, The",1940
371,478,32910,1,Pinocchio,1940
372,4943,32904,3,"Philadelphia Story, The",1940
373,1357,33105,0,Strange Cargo,1940
374,1373,32194,2,"All This, and Heaven Too",1940
375,5773,31359,3,Gaslight,1940
376,2678,33021,1,Santa Fe Trail,1940
377,3050,33028,3,"Sea Hawk, The",1940
378,3470,32553,3,"Great Dictator, The",1940
379,1356,32273,1,Boom Town,1940
380,1380,32701,2,"Letter, The",1940
381,5039,32455,0,Fantasia,1940
382,7861,33045,3,"Shop Around the Corner, The",1940
383,5802,32690,3,"Last Alarm, The",1940
384,4415,32376,3,"Dance, Girl, Dance",1940
385,3033,32599,3,His Girl Friday,1940
386,1355,32349,2,Comrade X,1940
387,4257,32943,3,Pride and Prejudice,1940
388,1387,32551,3,"Grapes of Wrath, The",1940
389,7311,32484,1,Foreign Correspondent,1940
390,2867,33627,0,49th Parallel,1941
391,1117,33563,2,Dumbo,1941
392,2906,33436,3,Buck Privates,1941
393,2910,33723,3,Hold That Ghost,1941
394,1682,33533,3,"Devil and Miss Jones, The",1941
395,2410,33717,1,High Sierra,1941
396,1386,33804,2,"Lady Eve, The",1941
397,2446,33459,3,Cheers for Miss Bishop,1941
398,6318,33802,1,Ladies In Retirement,1941
399,6171,33928,3,Murder by Invitation,1941
400,1941,33727,1,Mr. Bug Goes to Town,1941
401,8625,34241,0,Sun valley serenade,1941
402,1331,34328,2,Two-Faced Woman,1941
403,1372,33836,2,"Little Foxes, The",1941
404,2436,34398,2,"Wolf Man, The",1941
405,1512,34175,3,"Shanghai Gesture, The",1941
406,3717,33891,3,Meet John Doe,1941
407,1230,33870,1,"Maltese Falcon, The",1941
408,1266,33467,1,Citizen Kane,1941
409,2468,33902,1,Men of Boys Town,1941
410,4359,34240,3,Sullivan&#39;s Travels,1941
411,7329,34248,3,Suspicion,1941
412,3789,34591,0,There Was a Father,1942
413,1289,35015,2,"Magnificent Ambersons, The",1942
414,2708,34587,3,Cat People,1942
415,1686,34882,3,I Married an Angel,1942
416,681,35019,3,"Major and the Minor, The",1942
417,1116,34492,1,Bambi,1942
418,5303,35446,0,To Be or Not to Be,1942
419,3875,35415,2,Tales of Manhattan,1942
420,3518,34521,0,Black Dragons,1942
421,689,35140,3,"Now, Voyager",1942
422,1076,34583,1,Casablanca,1942
423,6384,35093,3,Mrs. Miniver,1942
424,7697,34613,1,"Corpse Vanishes, The",1942
425,1388,35360,1,Son of Fury: The Story of Benjamin Blake,1942
426,5939,35279,1,Saboteur,1942
427,7696,36326,0,Saludos Amigos,1942
428,4475,33874,3,"Man Who Came to Dinner, The",1942
429,4870,35567,3,Woman of the Year,1942
430,1675,34746,3,For Me and My Gal,1942
431,5859,35317,1,Sherlock Holmes and the Secret Weapon,1942
432,3753,36506,3,Day of Wrath,1943
433,1955,36027,3,I Walked with a Zombie,1943
434,1959,36363,1,"Sky&#39;s the Limit, The",1943
435,1987,36323,0,Sahara,1943
436,1374,36230,3,Old Acquaintance,1943
437,6310,36244,1,"Ox-Bow Incident, The",1943
438,7834,35636,3,Angels of Sin,1943
439,7475,35017,1,La main du diable,1943
440,4617,36342,3,Shadow of a Doubt,1943
441,4699,36400,0,Judo Saga (Sanshiro Sugata),1943
442,7410,36172,1,"More the Merrier, The",1943
443,6781,36969,3,Jane Eyre,1943
444,5209,35770,3,Cry &#39;Havoc&#39;,1943
445,8501,35735,3,China,1943
446,8090,36341,3,"Seventh Victim, The",1943
447,5554,35881,0,Fires Were Started,1943
448,1988,35957,0,Guadalcanal Diary,1943
449,3839,36112,2,"Life and Death of Colonel Blimp, The",1943
450,1691,35942,1,Girl Crazy,1943
451,2407,36418,3,Tender Comrade,1943
452,3890,35753,3,Le Corbeau: The Raven,1943
453,1375,36515,3,Watch on the Rhine,1943
454,6315,36367,3,So Proudly We Hail!,1943
455,3245,37382,3,To Have and Have Not,1944
456,5983,37017,3,Lifeboat,1944
457,6420,37076,1,Minstrel Man,1944
458,2715,37008,3,Laura,1944
459,4222,37120,3,National Velvet,1944
460,2181,37469,1,Window in the Window,1944
461,201,36613,3,Arsenic and Old Lace,1944
462,1676,37059,3,Meet Me in St. Louis,1944
463,3134,36723,3,Cover Girl,1944
464,1376,37094,2,Mr. Skeffington,1944
465,4698,36947,3,"Most Beautiful (Ichiban utsukushiku), The",1944
466,3279,36940,3,I&#39;ll Be Seeing You,1944
